"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"346","Feeling in awe of Sir Christopher Wren and lucky to be celebrating the year and the upcoming Christmas season at St",FALSE,2,NA,2017-12-11 19:17:56,TRUE,NA,"940299632512561152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chris_wigley",0,FALSE,FALSE,NA,NA
"347","George Hoggan left withand ClubmembersChris and Darren Paul joi",FALSE,0,NA,2017-12-11 19:15:32,FALSE,NA,"940299026913746944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EuanMacfarlane_",6,TRUE,FALSE,NA,NA
"348","If Chris Paul wasnt on there Id go with Cavs",FALSE,2,"R_clemmons",2017-12-11 19:14:52,FALSE,"940298739733839872","940298857929252864","316289116","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","R_clemmons",0,FALSE,FALSE,NA,NA
"349","Victims so far of the WhenMet curse Paul Daniels Jimmy Savile Keith Harris Max Clifford Pray fo",FALSE,0,NA,2017-12-11 19:13:58,FALSE,NA,"940298630296203264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MatthewBeige",18,TRUE,FALSE,NA,NA
"350","Victims so far of the WhenMet curse Paul Daniels Jimmy Savile Keith Harris Max Clifford Pray fo",FALSE,0,NA,2017-12-11 19:13:33,FALSE,NA,"940298526210347008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","donkey_walloppa",18,TRUE,FALSE,NA,NA
"351","George Hoggan left withand ClubmembersChris and Darren Paul joi",FALSE,0,NA,2017-12-11 19:13:07,FALSE,NA,"940298417644998656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisGraham76",6,TRUE,FALSE,NA,NA
"352","CHRIS PAULJAMES HARDENLEBRON JAMESTREVOR ARIZACLINT CAPELA

 NBA SAMPIYONU HOUSTON ROCKETSI KUTLARIM",FALSE,4,NA,2017-12-11 19:10:29,FALSE,NA,"940297755032981507",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maykilscofield",0,FALSE,FALSE,NA,NA
"353","LR Alan Tolson Robin FordRon Eastland",FALSE,0,NA,2017-12-11 19:06:38,FALSE,NA,"940296787134439425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrLawrenceWM",3,TRUE,FALSE,NA,NA
"354","Rockets arewith Chris Paul in the lineup this year CP hasand to compliment the Beards",FALSE,0,NA,2017-12-11 19:04:20,FALSE,NA,"940296209054527489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DOO_BE_DOO_21",120,TRUE,FALSE,NA,NA
"355","True I just know for a fact harden can carry this team without Chris Paul but Im not sure if Chris",FALSE,0,"DreamShakeSBN",2017-12-11 19:03:50,TRUE,"940295612708392960","940296081845506053","236780729","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drizzl33",0,FALSE,FALSE,NA,NA
"356","LeBron James to the Rockets is prooooobably only possible if Chris Paul takes a large pay cut

I broke down the salary cap r",FALSE,0,NA,2017-12-11 19:03:21,FALSE,NA,"940295962349703168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SBNationNBA",17,TRUE,FALSE,NA,NA
"357","LeBron James to the Rockets is prooooobably only possible if Chris Paul takes a large pay cut

I broke down the sa",FALSE,42,NA,2017-12-11 19:03:13,TRUE,NA,"940295927943892992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tim_cato",17,FALSE,FALSE,NA,NA
"358","LeBron James JOINING Chris PaulJames Harden in Houston Next Season",FALSE,2,NA,2017-12-11 19:02:58,FALSE,NA,"940295865478107136",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","FumbleSports",0,FALSE,FALSE,NA,NA
"359","Rockets arewith Chris Paul in the lineup this year CP hasand to compliment the Beards",FALSE,0,NA,2017-12-11 19:02:47,FALSE,NA,"940295819693051905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoFlyiStayHigh",120,TRUE,FALSE,NA,NA
